Первое число: 17, второе число: 16 - Сумма чисел: 33, Разность чисел: 1, Произведение чисел: 272, Частное чисел: 1.
Первое число: 2, второе число: 2 - Сумма чисел: 4, Разность чисел: 0, Произведение чисел: 4, Частное чисел: 1.
Первое число: 3, второе число: 2 - Сумма чисел: 5, Разность чисел: 1, Произведение чисел: 6, Частное чисел: 1.
Первое число: -7, второе число: -8 - Сумма чисел: -15, Разность чисел: 1, Произведение чисел: 56, Частное чисел: 0.
Первое число: -7, второе число: -7 - Сумма чисел: -14, Разность чисел: 0, Произведение чисел: 49, Частное чисел: 1.
Первое число: 20, второе число:  - Сумма чисел: -14, Разность чисел: 0, Произведение чисел: 49, Частное чисел: 1.
Первое число: 0, второе число: 20 - Сумма чисел: 20, Разность чисел: -20, Произведение чисел: 0, Частное чисел: 0.
Первое число: , второе число:  - Сумма чисел: 20, Разность чисел: -20, Произведение чисел: 0, Частное чисел: 0.
Первое число: , второе число:  - Сумма чисел: 20, Разность чисел: -20, Произведение чисел: 0, Частное чисел: 0.
Первое число: , второе число:  - Сумма чисел: 20, Разность чисел: -20, Произведение чисел: 0, Частное чисел: 0.
Первое число: , второе число:  - Сумма чисел: 20, Разность чисел: -20, Произведение чисел: 0, Частное чисел: 0.
Первое число: , второе число:  - Сумма чисел: 20, Разность чисел: -20, Произведение чисел: 0, Частное чисел: 0.
Первое число: , второе число:  - Сумма чисел: 20, Разность чисел: -20, Произведение чисел: 0, Частное чисел: 0.
Первое число: , второе число:  - Сумма чисел: 20, Разность чисел: -20, Произведение чисел: 0, Частное чисел: 0.
Первое число: , второе число:  - Сумма чисел: 20, Разность чисел: -20, Произведение чисел: 0, Частное чисел: 0.
Первое число: , второе число:  - Сумма чисел: , Разность чисел: , Произведение чисел: , Частное чисел: .
